country,year,sex,age,population
Albania,1993,male,5-14 years,Medium_population
Albania,1993,female,75+ years,Low_population
Albania,1994,male,75+ years,Low_population
Albania,1994,male,55-74 years,Medium_population
Albania,1994,female,75+ years,Low_population
Albania,1994,male,25-34 years,Medium_population
Albania,1994,male,35-54 years,Medium_population
Albania,1994,male,15-24 years,Medium_population
Albania,1994,female,15-24 years,Medium_population
Albania,1994,female,25-34 years,Medium_population
Albania,1994,female,35-54 years,Medium_population
Albania,1994,female,55-74 years,Medium_population
Albania,1994,male,5-14 years,Medium_population
Albania,1994,female,5-14 years,Medium_population
Albania,1995,male,25-34 years,Medium_population
Albania,1995,male,55-74 years,Medium_population
Albania,1995,female,75+ years,Low_population
Albania,1995,female,15-24 years,Medium_population
Albania,1995,male,15-24 years,Medium_population
Albania,1995,male,75+ years,Low_population
Albania,1995,male,35-54 years,Medium_population
Albania,1995,female,25-34 years,Medium_population
Albania,1995,female,35-54 years,Medium_population
Albania,1995,male,5-14 years,Medium_population
Albania,1995,female,55-74 years,Medium_population
Albania,1995,female,5-14 years,Medium_population
Albania,1996,male,75+ years,Low_population
Albania,1996,male,15-24 years,Medium_population
Albania,1996,male,25-34 years,Medium_population
Albania,1996,female,15-24 years,Medium_population
Albania,1996,female,75+ years,Low_population
Albania,1996,female,25-34 years,Medium_population
Albania,1996,male,35-54 years,Medium_population
Albania,1996,female,35-54 years,Medium_population
Albania,1996,male,55-74 years,Medium_population
Albania,1996,female,55-74 years,Medium_population
Albania,1996,male,5-14 years,Medium_population
Albania,1996,female,5-14 years,Medium_population
Albania,1997,male,25-34 years,Medium_population
Albania,1997,male,15-24 years,Medium_population
Albania,1997,male,75+ years,Low_population
Albania,1997,male,35-54 years,Medium_population
Albania,1997,female,15-24 years,Medium_population
Albania,1997,male,55-74 years,Medium_population
Albania,1997,female,25-34 years,Medium_population
Albania,1997,female,75+ years,Low_population
Albania,1997,female,35-54 years,Medium_population
Albania,1997,female,5-14 years,Medium_population
Albania,1997,male,5-14 years,Medium_population
Albania,1997,female,55-74 years,Medium_population
Albania,1998,male,75+ years,Low_population
Albania,1998,male,15-24 years,Medium_population
Albania,1998,female,15-24 years,Medium_population
Albania,1998,male,25-34 years,Medium_population
Albania,1998,male,35-54 years,Medium_population
Albania,1998,male,55-74 years,Medium_population
Albania,1998,female,25-34 years,Medium_population
Albania,1998,female,55-74 years,Medium_population
Albania,1998,female,35-54 years,Medium_population
Albania,1998,male,5-14 years,Medium_population
Albania,1998,female,5-14 years,Medium_population
Albania,1998,female,75+ years,Low_population
Albania,1999,male,75+ years,Low_population
Albania,1999,male,15-24 years,Medium_population
Albania,1999,female,75+ years,Low_population
Albania,1999,male,35-54 years,Medium_population
Albania,1999,male,25-34 years,Medium_population
Albania,1999,male,55-74 years,Medium_population
Albania,1999,female,15-24 years,Medium_population
Albania,1999,female,25-34 years,Medium_population
Albania,1999,female,55-74 years,Medium_population
Albania,1999,female,35-54 years,Medium_population
Albania,1999,female,5-14 years,Medium_population
Albania,1999,male,5-14 years,Medium_population
Albania,2000,male,25-34 years,Medium_population
Albania,2000,male,55-74 years,Medium_population
Albania,2000,female,75+ years,Low_population
Albania,2000,male,75+ years,Low_population
Albania,2000,female,15-24 years,Medium_population
Albania,2000,male,15-24 years,Medium_population
Albania,2000,female,35-54 years,Medium_population
Albania,2000,female,25-34 years,Medium_population
Albania,2000,male,35-54 years,Medium_population
Albania,2000,male,5-14 years,Medium_population
Albania,2000,female,5-14 years,Medium_population
Albania,2000,female,55-74 years,Medium_population
Albania,2001,male,25-34 years,Medium_population
Albania,2001,male,35-54 years,Medium_population
Albania,2001,male,55-74 years,Medium_population
Albania,2001,female,75+ years,Low_population
Albania,2001,male,15-24 years,Medium_population
Albania,2001,female,15-24 years,Medium_population
Albania,2001,female,35-54 years,Medium_population
Albania,2001,male,75+ years,Low_population
Albania,2001,female,55-74 years,Medium_population
Albania,2001,male,5-14 years,Medium_population
Albania,2001,female,25-34 years,Medium_population
Albania,2001,female,5-14 years,Medium_population
Albania,2002,male,75+ years,Low_population
Albania,2002,male,25-34 years,Medium_population
Albania,2002,male,35-54 years,Medium_population
Albania,2002,male,55-74 years,Medium_population
Albania,2002,male,15-24 years,Medium_population
Albania,2002,female,15-24 years,Medium_population
Albania,2002,female,35-54 years,Medium_population
Albania,2002,female,25-34 years,Medium_population
Albania,2002,female,75+ years,Low_population
Albania,2002,female,55-74 years,Medium_population
Albania,2002,female,5-14 years,Medium_population
Albania,2002,male,5-14 years,Medium_population
Albania,2003,female,75+ years,Low_population
Albania,2003,male,55-74 years,Medium_population
Albania,2003,male,35-54 years,Medium_population
Albania,2003,male,15-24 years,Medium_population
Albania,2003,female,15-24 years,Medium_population
Albania,2003,female,55-74 years,Medium_population
Albania,2003,male,25-34 years,Medium_population
Albania,2003,female,25-34 years,Medium_population
Albania,2003,female,35-54 years,Medium_population
Albania,2003,male,75+ years,Low_population
Albania,2003,male,5-14 years,Medium_population
Albania,2003,female,5-14 years,Medium_population
Albania,2004,male,75+ years,Low_population
Albania,2004,male,35-54 years,Medium_population
Albania,2004,male,25-34 years,Medium_population
Albania,2004,female,15-24 years,Medium_population
Albania,2004,male,15-24 years,Medium_population
Albania,2004,female,75+ years,Low_population
Albania,2004,female,25-34 years,Medium_population
Albania,2004,male,55-74 years,Medium_population
Albania,2004,female,35-54 years,Medium_population
Albania,2004,female,55-74 years,Medium_population
Albania,2004,female,5-14 years,Medium_population
Albania,2004,male,5-14 years,Medium_population
Albania,2005,female,15-24 years,Medium_population
Albania,2005,female,25-34 years,Medium_population
Albania,2005,female,35-54 years,Medium_population
Albania,2005,female,5-14 years,Medium_population
Albania,2005,female,55-74 years,Medium_population
Albania,2005,female,75+ years,Low_population
Albania,2005,male,15-24 years,Medium_population
Albania,2005,male,25-34 years,Medium_population
Albania,2005,male,35-54 years,Medium_population
Albania,2005,male,5-14 years,Medium_population
Albania,2005,male,55-74 years,Medium_population
Albania,2005,male,75+ years,Low_population
Albania,2006,female,15-24 years,Medium_population
Albania,2006,female,25-34 years,Medium_population
Albania,2006,female,35-54 years,Medium_population
Albania,2006,female,5-14 years,Medium_population
Albania,2006,female,55-74 years,Medium_population
Albania,2006,female,75+ years,Low_population
Albania,2006,male,15-24 years,Medium_population
Albania,2006,male,25-34 years,Medium_population
Albania,2006,male,35-54 years,Medium_population
Albania,2006,male,5-14 years,Medium_population
Albania,2006,male,55-74 years,Medium_population
Albania,2006,male,75+ years,Low_population
Albania,2007,male,75+ years,Low_population
Albania,2007,male,35-54 years,Medium_population
Albania,2007,male,55-74 years,Medium_population
Albania,2007,female,75+ years,Low_population
Albania,2007,male,25-34 years,Medium_population
Albania,2007,female,15-24 years,Medium_population
Albania,2007,male,15-24 years,Medium_population
Albania,2007,female,25-34 years,Medium_population
Albania,2007,female,55-74 years,Medium_population
Albania,2007,female,35-54 years,Medium_population
Albania,2007,male,5-14 years,Medium_population
Albania,2007,female,5-14 years,Medium_population
Albania,2008,male,25-34 years,Medium_population
Albania,2008,male,35-54 years,Medium_population
Albania,2008,male,55-74 years,Medium_population
Albania,2008,female,75+ years,Low_population
Albania,2008,female,15-24 years,Medium_population
Albania,2008,female,25-34 years,Medium_population
Albania,2008,female,35-54 years,Medium_population
Albania,2008,male,75+ years,Low_population
Albania,2008,male,15-24 years,Medium_population
Albania,2008,female,55-74 years,Medium_population
Albania,2008,male,5-14 years,Medium_population
Albania,2008,female,5-14 years,Medium_population
Albania,2009,female,15-24 years,Medium_population
Albania,2009,female,25-34 years,Medium_population
Albania,2009,female,35-54 years,Medium_population
Albania,2009,female,5-14 years,Medium_population
Albania,2009,female,55-74 years,Medium_population
Albania,2009,female,75+ years,Low_population
Albania,2009,male,15-24 years,Medium_population
Albania,2009,male,25-34 years,Medium_population
Albania,2009,male,35-54 years,Medium_population
Albania,2009,male,5-14 years,Medium_population
Albania,2009,male,55-74 years,Medium_population
Albania,2009,male,75+ years,Low_population
Albania,2010,male,55-74 years,Medium_population
Albania,2010,male,35-54 years,Medium_population
Albania,2010,male,25-34 years,Medium_population
Albania,2010,male,75+ years,Low_population
Albania,2010,male,15-24 years,Medium_population
Albania,2010,female,25-34 years,Medium_population
Albania,2010,female,75+ years,Low_population
Albania,2010,female,35-54 years,Medium_population
Albania,2010,female,55-74 years,Medium_population
Albania,2010,female,15-24 years,Medium_population
Albania,2010,female,5-14 years,Medium_population
Albania,2010,male,5-14 years,Medium_population
Antigua and Barbuda,1985,female,15-24 years,Low_population
Antigua and Barbuda,1985,female,25-34 years,Low_population
Antigua and Barbuda,1985,female,35-54 years,Low_population
Antigua and Barbuda,1985,female,5-14 years,Low_population
Antigua and Barbuda,1985,female,55-74 years,Low_population
Antigua and Barbuda,1985,female,75+ years,Low_population
Antigua and Barbuda,1985,male,15-24 years,Low_population
Antigua and Barbuda,1985,male,25-34 years,Low_population
Antigua and Barbuda,1985,male,35-54 years,Low_population
Antigua and Barbuda,1985,male,5-14 years,Low_population
Antigua and Barbuda,1985,male,55-74 years,Low_population
Antigua and Barbuda,1985,male,75+ years,Low_population
Antigua and Barbuda,1986,female,15-24 years,Low_population
Antigua and Barbuda,1986,female,25-34 years,Low_population
Antigua and Barbuda,1986,female,35-54 years,Low_population
Antigua and Barbuda,1986,female,5-14 years,Low_population
Antigua and Barbuda,1986,female,55-74 years,Low_population
Antigua and Barbuda,1986,female,75+ years,Low_population
Antigua and Barbuda,1986,male,15-24 years,Low_population
Antigua and Barbuda,1986,male,25-34 years,Low_population
Antigua and Barbuda,1986,male,35-54 years,Low_population
Antigua and Barbuda,1986,male,5-14 years,Low_population
Antigua and Barbuda,1986,male,55-74 years,Low_population
Antigua and Barbuda,1986,male,75+ years,Low_population
Antigua and Barbuda,1987,female,15-24 years,Low_population
Antigua and Barbuda,1987,female,25-34 years,Low_population
Antigua and Barbuda,1987,female,35-54 years,Low_population
Antigua and Barbuda,1987,female,5-14 years,Low_population
Antigua and Barbuda,1987,female,55-74 years,Low_population
Antigua and Barbuda,1987,female,75+ years,Low_population
Antigua and Barbuda,1987,male,15-24 years,Low_population
Antigua and Barbuda,1987,male,25-34 years,Low_population
Antigua and Barbuda,1987,male,35-54 years,Low_population
Antigua and Barbuda,1987,male,5-14 years,Low_population
Antigua and Barbuda,1987,male,55-74 years,Low_population
Antigua and Barbuda,1987,male,75+ years,Low_population
Antigua and Barbuda,1988,female,15-24 years,Low_population
Antigua and Barbuda,1988,female,25-34 years,Low_population
Antigua and Barbuda,1988,female,35-54 years,Low_population
Antigua and Barbuda,1988,female,5-14 years,Low_population
Antigua and Barbuda,1988,female,55-74 years,Low_population
Antigua and Barbuda,1988,female,75+ years,Low_population
Antigua and Barbuda,1988,male,15-24 years,Low_population
Antigua and Barbuda,1988,male,25-34 years,Low_population
Antigua and Barbuda,1988,male,35-54 years,Low_population
Antigua and Barbuda,1988,male,5-14 years,Low_population
Antigua and Barbuda,1988,male,55-74 years,Low_population
Antigua and Barbuda,1988,male,75+ years,Low_population
Antigua and Barbuda,1989,female,15-24 years,Low_population
Antigua and Barbuda,1989,female,25-34 years,Low_population
Antigua and Barbuda,1989,female,35-54 years,Low_population
Antigua and Barbuda,1989,female,5-14 years,Low_population
Antigua and Barbuda,1989,female,55-74 years,Low_population
Antigua and Barbuda,1989,female,75+ years,Low_population
Antigua and Barbuda,1989,male,15-24 years,Low_population
Antigua and Barbuda,1989,male,25-34 years,Low_population
Antigua and Barbuda,1989,male,35-54 years,Low_population
Antigua and Barbuda,1989,male,5-14 years,Low_population
Antigua and Barbuda,1989,male,55-74 years,Low_population
Antigua and Barbuda,1989,male,75+ years,Low_population
Antigua and Barbuda,1990,male,35-54 years,Low_population
Antigua and Barbuda,1990,female,15-24 years,Low_population
Antigua and Barbuda,1990,female,25-34 years,Low_population
Antigua and Barbuda,1990,female,35-54 years,Low_population
Antigua and Barbuda,1990,female,5-14 years,Low_population
Antigua and Barbuda,1990,female,55-74 years,Low_population
Antigua and Barbuda,1990,female,75+ years,Low_population
Antigua and Barbuda,1990,male,15-24 years,Low_population
Antigua and Barbuda,1990,male,25-34 years,Low_population
Antigua and Barbuda,1990,male,5-14 years,Low_population
Antigua and Barbuda,1990,male,55-74 years,Low_population
Antigua and Barbuda,1990,male,75+ years,Low_population
Antigua and Barbuda,1991,female,15-24 years,Low_population
Antigua and Barbuda,1991,female,25-34 years,Low_population
Antigua and Barbuda,1991,female,35-54 years,Low_population
Antigua and Barbuda,1991,female,5-14 years,Low_population
Antigua and Barbuda,1991,female,55-74 years,Low_population
Antigua and Barbuda,1991,female,75+ years,Low_population
Antigua and Barbuda,1991,male,15-24 years,Low_population
Antigua and Barbuda,1991,male,25-34 years,Low_population
Antigua and Barbuda,1991,male,35-54 years,Low_population
Antigua and Barbuda,1991,male,5-14 years,Low_population
Antigua and Barbuda,1991,male,55-74 years,Low_population
Antigua and Barbuda,1991,male,75+ years,Low_population
Antigua and Barbuda,1992,female,15-24 years,Low_population
Antigua and Barbuda,1992,female,25-34 years,Low_population
Antigua and Barbuda,1992,female,35-54 years,Low_population
Antigua and Barbuda,1992,female,5-14 years,Low_population
Antigua and Barbuda,1992,female,55-74 years,Low_population
Antigua and Barbuda,1992,female,75+ years,Low_population
Antigua and Barbuda,1992,male,15-24 years,Low_population
Antigua and Barbuda,1992,male,25-34 years,Low_population
Antigua and Barbuda,1992,male,35-54 years,Low_population
Antigua and Barbuda,1992,male,5-14 years,Low_population
Antigua and Barbuda,1992,male,55-74 years,Low_population
Antigua and Barbuda,1992,male,75+ years,Low_population
Antigua and Barbuda,1993,male,25-34 years,Low_population
Antigua and Barbuda,1993,female,15-24 years,Low_population
Antigua and Barbuda,1993,female,25-34 years,Low_population
Antigua and Barbuda,1993,female,35-54 years,Low_population
Antigua and Barbuda,1993,female,5-14 years,Low_population
Antigua and Barbuda,1993,female,55-74 years,Low_population
Antigua and Barbuda,1993,female,75+ years,Low_population
Antigua and Barbuda,1993,male,15-24 years,Low_population
Antigua and Barbuda,1993,male,35-54 years,Low_population
Antigua and Barbuda,1993,male,5-14 years,Low_population
Antigua and Barbuda,1993,male,55-74 years,Low_population
Antigua and Barbuda,1993,male,75+ years,Low_population
Antigua and Barbuda,1994,female,15-24 years,Low_population
Antigua and Barbuda,1994,female,25-34 years,Low_population
Antigua and Barbuda,1994,female,35-54 years,Low_population
Antigua and Barbuda,1994,female,5-14 years,Low_population
Antigua and Barbuda,1994,female,55-74 years,Low_population
Antigua and Barbuda,1994,female,75+ years,Low_population
Antigua and Barbuda,1994,male,15-24 years,Low_population
Antigua and Barbuda,1994,male,25-34 years,Low_population
Antigua and Barbuda,1994,male,35-54 years,Low_population
Antigua and Barbuda,1994,male,5-14 years,Low_population
Antigua and Barbuda,1994,male,55-74 years,Low_population
Antigua and Barbuda,1994,male,75+ years,Low_population
Antigua and Barbuda,1995,female,15-24 years,Low_population
Antigua and Barbuda,1995,female,25-34 years,Low_population
Antigua and Barbuda,1995,female,35-54 years,Low_population
Antigua and Barbuda,1995,female,5-14 years,Low_population
Antigua and Barbuda,1995,female,55-74 years,Low_population
Antigua and Barbuda,1995,female,75+ years,Low_population
Antigua and Barbuda,1995,male,15-24 years,Low_population
Antigua and Barbuda,1995,male,25-34 years,Low_population
Antigua and Barbuda,1995,male,35-54 years,Low_population
Antigua and Barbuda,1995,male,5-14 years,Low_population
Antigua and Barbuda,1995,male,55-74 years,Low_population
Antigua and Barbuda,1995,male,75+ years,Low_population
Antigua and Barbuda,1998,female,15-24 years,Low_population
Antigua and Barbuda,1998,female,25-34 years,Low_population
Antigua and Barbuda,1998,female,35-54 years,Low_population
Antigua and Barbuda,1998,female,5-14 years,Low_population
Antigua and Barbuda,1998,female,55-74 years,Low_population
Antigua and Barbuda,1998,female,75+ years,Low_population
Antigua and Barbuda,1998,male,15-24 years,Low_population
Antigua and Barbuda,1998,male,25-34 years,Low_population
Antigua and Barbuda,1998,male,35-54 years,Low_population
Antigua and Barbuda,1998,male,5-14 years,Low_population
Antigua and Barbuda,1998,male,55-74 years,Low_population
Antigua and Barbuda,1998,male,75+ years,Low_population
Antigua and Barbuda,1999,female,15-24 years,Low_population
Antigua and Barbuda,1999,female,25-34 years,Low_population
Antigua and Barbuda,1999,female,35-54 years,Low_population
Antigua and Barbuda,1999,female,5-14 years,Low_population
Antigua and Barbuda,1999,female,55-74 years,Low_population
Antigua and Barbuda,1999,female,75+ years,Low_population
Antigua and Barbuda,1999,male,15-24 years,Low_population
Antigua and Barbuda,1999,male,25-34 years,Low_population
Antigua and Barbuda,1999,male,35-54 years,Low_population
Antigua and Barbuda,1999,male,5-14 years,Low_population
Antigua and Barbuda,1999,male,55-74 years,Low_population
Antigua and Barbuda,1999,male,75+ years,Low_population
Antigua and Barbuda,2000,male,55-74 years,Low_population
Antigua and Barbuda,2000,male,35-54 years,Low_population
Antigua and Barbuda,2000,female,15-24 years,Low_population
Antigua and Barbuda,2000,female,25-34 years,Low_population
Antigua and Barbuda,2000,female,35-54 years,Low_population
Antigua and Barbuda,2000,female,5-14 years,Low_population
Antigua and Barbuda,2000,female,55-74 years,Low_population
Antigua and Barbuda,2000,female,75+ years,Low_population
Antigua and Barbuda,2000,male,15-24 years,Low_population
Antigua and Barbuda,2000,male,25-34 years,Low_population
Antigua and Barbuda,2000,male,5-14 years,Low_population
Antigua and Barbuda,2000,male,75+ years,Low_population
Antigua and Barbuda,2001,male,35-54 years,Low_population
Antigua and Barbuda,2001,female,15-24 years,Low_population
Antigua and Barbuda,2001,female,25-34 years,Low_population
Antigua and Barbuda,2001,female,35-54 years,Low_population
Antigua and Barbuda,2001,female,5-14 years,Low_population
Antigua and Barbuda,2001,female,55-74 years,Low_population
Antigua and Barbuda,2001,female,75+ years,Low_population
Antigua and Barbuda,2001,male,15-24 years,Low_population
Antigua and Barbuda,2001,male,25-34 years,Low_population
Antigua and Barbuda,2001,male,5-14 years,Low_population
Antigua and Barbuda,2001,male,55-74 years,Low_population
Antigua and Barbuda,2001,male,75+ years,Low_population
Antigua and Barbuda,2002,female,15-24 years,Low_population
Antigua and Barbuda,2002,female,25-34 years,Low_population
Antigua and Barbuda,2002,female,35-54 years,Low_population
Antigua and Barbuda,2002,female,5-14 years,Low_population
Antigua and Barbuda,2002,female,55-74 years,Low_population
Antigua and Barbuda,2002,female,75+ years,Low_population
Antigua and Barbuda,2002,male,15-24 years,Low_population
Antigua and Barbuda,2002,male,25-34 years,Low_population
Antigua and Barbuda,2002,male,35-54 years,Low_population
Antigua and Barbuda,2002,male,5-14 years,Low_population
Antigua and Barbuda,2002,male,55-74 years,Low_population
Antigua and Barbuda,2002,male,75+ years,Low_population
Antigua and Barbuda,2003,male,55-74 years,Low_population
Antigua and Barbuda,2003,female,15-24 years,Low_population
Antigua and Barbuda,2003,female,25-34 years,Low_population
Antigua and Barbuda,2003,female,35-54 years,Low_population
Antigua and Barbuda,2003,female,5-14 years,Low_population
Antigua and Barbuda,2003,female,55-74 years,Low_population
Antigua and Barbuda,2003,female,75+ years,Low_population
Antigua and Barbuda,2003,male,15-24 years,Low_population
Antigua and Barbuda,2003,male,25-34 years,Low_population
Antigua and Barbuda,2003,male,35-54 years,Low_population
Antigua and Barbuda,2003,male,5-14 years,Low_population
Antigua and Barbuda,2003,male,75+ years,Low_population
Antigua and Barbuda,2004,male,55-74 years,Low_population
Antigua and Barbuda,2004,male,35-54 years,Low_population
Antigua and Barbuda,2004,female,15-24 years,Low_population
Antigua and Barbuda,2004,female,25-34 years,Low_population
Antigua and Barbuda,2004,female,35-54 years,Low_population
Antigua and Barbuda,2004,female,5-14 years,Low_population
Antigua and Barbuda,2004,female,55-74 years,Low_population
Antigua and Barbuda,2004,female,75+ years,Low_population
Antigua and Barbuda,2004,male,15-24 years,Low_population
Antigua and Barbuda,2004,male,25-34 years,Low_population
Antigua and Barbuda,2004,male,5-14 years,Low_population
Antigua and Barbuda,2004,male,75+ years,Low_population
Antigua and Barbuda,2005,female,15-24 years,Low_population
Antigua and Barbuda,2005,female,25-34 years,Low_population
Antigua and Barbuda,2005,female,35-54 years,Low_population
Antigua and Barbuda,2005,female,5-14 years,Low_population
Antigua and Barbuda,2005,female,55-74 years,Low_population
Antigua and Barbuda,2005,female,75+ years,Low_population
Antigua and Barbuda,2005,male,15-24 years,Low_population
Antigua and Barbuda,2005,male,25-34 years,Low_population
Antigua and Barbuda,2005,male,35-54 years,Low_population
Antigua and Barbuda,2005,male,5-14 years,Low_population
Antigua and Barbuda,2005,male,55-74 years,Low_population
Antigua and Barbuda,2005,male,75+ years,Low_population
Antigua and Barbuda,2006,female,15-24 years,Low_population
Antigua and Barbuda,2006,female,25-34 years,Low_population
Antigua and Barbuda,2006,female,35-54 years,Low_population
Antigua and Barbuda,2006,female,5-14 years,Low_population
Antigua and Barbuda,2006,female,55-74 years,Low_population
Antigua and Barbuda,2006,female,75+ years,Low_population
Antigua and Barbuda,2006,male,15-24 years,Low_population
Antigua and Barbuda,2006,male,25-34 years,Low_population
Antigua and Barbuda,2006,male,35-54 years,Low_population
Antigua and Barbuda,2006,male,5-14 years,Low_population
Antigua and Barbuda,2006,male,55-74 years,Low_population
Antigua and Barbuda,2006,male,75+ years,Low_population
Antigua and Barbuda,2007,male,35-54 years,Low_population
Antigua and Barbuda,2007,female,15-24 years,Low_population
Antigua and Barbuda,2007,female,25-34 years,Low_population
Antigua and Barbuda,2007,female,35-54 years,Low_population
Antigua and Barbuda,2007,female,5-14 years,Low_population
Antigua and Barbuda,2007,female,55-74 years,Low_population
Antigua and Barbuda,2007,female,75+ years,Low_population
Antigua and Barbuda,2007,male,15-24 years,Low_population
Antigua and Barbuda,2007,male,25-34 years,Low_population
Antigua and Barbuda,2007,male,5-14 years,Low_population
Antigua and Barbuda,2007,male,55-74 years,Low_population
Antigua and Barbuda,2007,male,75+ years,Low_population
Antigua and Barbuda,2008,female,15-24 years,Low_population
Antigua and Barbuda,2008,female,25-34 years,Low_population
Antigua and Barbuda,2008,female,35-54 years,Low_population
Antigua and Barbuda,2008,female,5-14 years,Low_population
Antigua and Barbuda,2008,female,55-74 years,Low_population
Antigua and Barbuda,2008,female,75+ years,Low_population
Antigua and Barbuda,2008,male,15-24 years,Low_population
Antigua and Barbuda,2008,male,25-34 years,Low_population
Antigua and Barbuda,2008,male,35-54 years,Low_population
Antigua and Barbuda,2008,male,5-14 years,Low_population
Antigua and Barbuda,2008,male,55-74 years,Low_population
Antigua and Barbuda,2008,male,75+ years,Low_population
Antigua and Barbuda,2009,female,15-24 years,Low_population
Antigua and Barbuda,2009,female,25-34 years,Low_population
Antigua and Barbuda,2009,female,35-54 years,Low_population
Antigua and Barbuda,2009,female,5-14 years,Low_population
Antigua and Barbuda,2009,female,55-74 years,Low_population
Antigua and Barbuda,2009,female,75+ years,Low_population
Antigua and Barbuda,2009,male,15-24 years,Low_population
Antigua and Barbuda,2009,male,25-34 years,Low_population
Antigua and Barbuda,2009,male,35-54 years,Low_population
Antigua and Barbuda,2009,male,5-14 years,Low_population
Antigua and Barbuda,2009,male,55-74 years,Low_population
Antigua and Barbuda,2009,male,75+ years,Low_population
Antigua and Barbuda,2012,female,15-24 years,Low_population
Antigua and Barbuda,2012,female,25-34 years,Low_population
Antigua and Barbuda,2012,female,35-54 years,Low_population
Antigua and Barbuda,2012,female,5-14 years,Low_population
Antigua and Barbuda,2012,female,55-74 years,Low_population
Antigua and Barbuda,2012,female,75+ years,Low_population
Antigua and Barbuda,2012,male,15-24 years,Low_population
Antigua and Barbuda,2012,male,25-34 years,Low_population
Antigua and Barbuda,2012,male,35-54 years,Low_population
Antigua and Barbuda,2012,male,5-14 years,Low_population
Antigua and Barbuda,2012,male,55-74 years,Low_population
Antigua and Barbuda,2012,male,75+ years,Low_population
Antigua and Barbuda,2013,female,15-24 years,Low_population
Antigua and Barbuda,2013,female,25-34 years,Low_population
Antigua and Barbuda,2013,female,35-54 years,Low_population
Antigua and Barbuda,2013,female,5-14 years,Low_population
Antigua and Barbuda,2013,female,55-74 years,Low_population
Antigua and Barbuda,2013,female,75+ years,Low_population
Antigua and Barbuda,2013,male,15-24 years,Low_population
Antigua and Barbuda,2013,male,25-34 years,Low_population
Antigua and Barbuda,2013,male,35-54 years,Low_population
Antigua and Barbuda,2013,male,5-14 years,Low_population
Antigua and Barbuda,2013,male,55-74 years,Low_population
Antigua and Barbuda,2013,male,75+ years,Low_population
Antigua and Barbuda,2014,female,15-24 years,Low_population
Antigua and Barbuda,2014,female,25-34 years,Low_population
Antigua and Barbuda,2014,female,35-54 years,Low_population
Antigua and Barbuda,2014,female,5-14 years,Low_population
Antigua and Barbuda,2014,female,55-74 years,Low_population
Antigua and Barbuda,2014,female,75+ years,Low_population
Antigua and Barbuda,2014,male,15-24 years,Low_population
Antigua and Barbuda,2014,male,25-34 years,Low_population
Antigua and Barbuda,2014,male,35-54 years,Low_population
Antigua and Barbuda,2014,male,5-14 years,Low_population
Antigua and Barbuda,2014,male,55-74 years,Low_population
Antigua and Barbuda,2014,male,75+ years,Low_population
Antigua and Barbuda,2015,female,55-74 years,Low_population
Antigua and Barbuda,2015,female,15-24 years,Low_population
Antigua and Barbuda,2015,female,25-34 years,Low_population
Antigua and Barbuda,2015,female,35-54 years,Low_population
Antigua and Barbuda,2015,female,5-14 years,Low_population
